bench,model,seed,metric,value
classical,xgb,5,logloss,0.6501649999858113
classical,catboost,5,auc,0.5147611622279811
classical,catboost,5,logloss,0.6543140993162077
classical,oracle,5,auc,0.672225599160726
classical,oracle,5,logloss,0.5764937170837052
classical,gbdte,6,auc,0.5411256612735066
classical,gbdte,6,logloss,0.689774169654176
classical,gbdte_auto,6,auc,0.5411256612735066
classical,gbdte_auto,6,logloss,0.689774169654176
classical,gbdte_wrong,6,auc,0.5270702473044926
classical,gbdte_wrong,6,logloss,0.8069571377067873
classical,gbdte_all_in_leaf,6,auc,0.5433510906454201
classical,gbdte_all_in_leaf,6,logloss,0.7446598002403111
classical,gbdte_const,6,auc,0.4863901948102097
classical,gbdte_const,6,logloss,0.7007316307800149
classical,lgbm_linear,6,auc,0.5090183654906403
classical,lgbm_linear,6,logloss,1.620939290627568
classical,lgbm,6,auc,0.48938771329154385
classical,lgbm,6,logloss,0.6891246961476976
classical,xgb,6,auc,0.5095084211813465
classical,xgb,6,logloss,0.7614582254658313
classical,catboost,6,auc,0.5019856976140522
classical,catboost,6,logloss,0.7115829889505311
classical,oracle,6,auc,0.6611784451652486
classical,oracle,6,logloss,0.5724233381624853
classical,gbdte,7,auc,0.5323052279133593
classical,gbdte,7,logloss,0.6909096312098197
classical,gbdte_auto,7,auc,0.5323052279133593
classical,gbdte_auto,7,logloss,0.6909096312098197
classical,gbdte_wrong,7,auc,0.5095181464928666
classical,gbdte_wrong,7,logloss,0.9126112885958156
classical,gbdte_all_in_leaf,7,auc,0.5301759475736468
classical,gbdte_all_in_leaf,7,logloss,0.7459665999003735
classical,gbdte_const,7,auc,0.4857307827890939
classical,gbdte_const,7,logloss,0.7070871295715111
classical,lgbm_linear,7,auc,0.5062472396341933
classical,lgbm_linear,7,logloss,2.5161426767910773
classical,lgbm,7,auc,0.481289075637062
classical,lgbm,7,logloss,0.665979469364683
classical,xgb,7,auc,0.4774514411979616
classical,xgb,7,logloss,0.6940504708886606
classical,catboost,7,auc,0.4861492778815518
classical,catboost,7,logloss,0.6655756469157517
classical,oracle,7,auc,0.6764929611516077
classical,oracle,7,logloss,0.5651204246747996
classical,gbdte,8,auc,0.52561831444227
classical,gbdte,8,logloss,0.7055330049786533
classical,gbdte_auto,8,auc,0.52561831444227
classical,gbdte_auto,8,logloss,0.7055330049786533
classical,gbdte_wrong,8,auc,0.5336145367747107
classical,gbdte_wrong,8,logloss,0.7048428032044529
classical,gbdte_all_in_leaf,8,auc,0.5107807301218044
classical,gbdte_all_in_leaf,8,logloss,0.7637762643815627
classical,gbdte_const,8,auc,0.49607371382633625
classical,gbdte_const,8,logloss,0.688689376172583
classical,lgbm_linear,8,auc,0.5130618969169216
classical,lgbm_linear,8,logloss,1.433167376747095
classical,lgbm,8,auc,0.4882805134518399
classical,lgbm,8,logloss,0.6587391827727573
classical,xgb,8,auc,0.4902496000253589
classical,xgb,8,logloss,0.6758645738096634
classical,catboost,8,auc,0.494080224365679
classical,catboost,8,logloss,0.6529382125785518
classical,oracle,8,auc,0.6689085456520786
classical,oracle,8,logloss,0.5752558076074974
classical,gbdte,9,auc,0.5457726606732631
classical,gbdte,9,logloss,0.6887476652724925
classical,gbdte_auto,9,auc,0.5457726606732631
classical,gbdte_auto,9,logloss,0.6887476652724925
classical,gbdte_wrong,9,auc,0.47257933852049583
classical,gbdte_wrong,9,logloss,0.7626065901677763
classical,gbdte_all_in_leaf,9,auc,0.5471731170264174
classical,gbdte_all_in_leaf,9,logloss,0.7410665878394319
classical,gbdte_const,9,auc,0.4796515849615356
classical,gbdte_const,9,logloss,0.7088194407312783
classical,lgbm_linear,9,auc,0.49877293717262605
classical,lgbm_linear,9,logloss,1.3836857814240242
classical,lgbm,9,auc,0.4941363400270298
classical,lgbm,9,logloss,0.6491312104256575
classical,xgb,9,auc,0.4822329778464576
classical,xgb,9,logloss,0.6750550703005215
classical,catboost,9,auc,0.48206029494988123
classical,catboost,9,logloss,0.6653899343067415
classical,oracle,9,auc,0.6709611066176375
classical,oracle,9,logloss,0.5789833012634152
