bench,seed,separability,basis_r2,n_freqs
weather,0,0.0019330390177842755,0.14059058872758723,3
weather,1,0.0,0.14246191820546028,3
weather,2,0.0018258189460796123,0.1238791851748926,3
weather,3,0.002975850116930146,0.12628633226349262,3
weather,4,0.0,0.15697845788095754,3
