model,mean,std
detrend_lgbm,0.319569231576401,0.010822156433423921
gbdte,0.32276882128881706,0.0039842490067586835
gbdte_auto,0.32276882128881706,0.0039842490067586835
lgbm_linear,0.33967818455552357,0.06070972899821338
xgb,0.4224874567875928,0.011855279317980812
lgbm,0.42985286146022705,0.012989504712930222
catboost,0.5038014953642029,0.014009819884846413
linear,0.735236449673597,0.006582815418472684
gbdte_const,1.1513381778707825,0.005892998922475507
