dataset,model,mean,std
owid_childmort,catboost,0.5038014953642029,0.014009819884846413
owid_childmort,detrend_lgbm,0.319569231576401,0.010822156433423921
owid_childmort,gbdte_auto,0.32276882128881706,0.0039842490067586835
owid_childmort,gbdte_const,1.1513381778707825,0.005892998922475507
owid_childmort,lgbm,0.42985286146022705,0.012989504712930222
owid_childmort,lgbm_linear,0.33967818455552357,0.06070972899821338
owid_childmort,linear,0.735236449673597,0.006582815418472684
owid_childmort,xgb,0.4224874567875928,0.011855279317980812
owid_gdppcap,catboost,0.33906140228429094,0.006021096737023608
owid_gdppcap,detrend_lgbm,0.260631961502303,0.005059567395111703
owid_gdppcap,gbdte_auto,0.25169870319718957,0.009342697585483404
owid_gdppcap,gbdte_const,0.4983290530458927,0.005367553892653304
owid_gdppcap,lgbm,0.2671486978872603,0.003839460693610554
owid_gdppcap,lgbm_linear,0.22860016668213795,0.0059883657395245855
owid_gdppcap,linear,0.726257109254992,0.003292588378269443
owid_gdppcap,xgb,0.2497612074821995,0.004837733063149587
owid_lifeexp,catboost,6.529583671971376,0.18506678201439733
owid_lifeexp,detrend_lgbm,4.3990920775736795,0.08078332400267005
owid_lifeexp,gbdte_auto,4.690668027693113,0.06263653302574344
owid_lifeexp,gbdte_const,14.522514021747915,0.10294243845168577
owid_lifeexp,lgbm,5.566054041591801,0.11570657850532276
owid_lifeexp,lgbm_linear,4.134341060614021,0.159064436010771
owid_lifeexp,linear,8.938958089005697,0.12483648908057647
owid_lifeexp,xgb,5.52273410254407,0.14043444398627217
owid_maternalmort,catboost,0.6377816507484255,0.008561295192617759
owid_maternalmort,detrend_lgbm,0.47023663995592646,0.013068990476135254
owid_maternalmort,gbdte_auto,0.4310648688597295,0.009640418075550038
owid_maternalmort,gbdte_const,1.0093216918375254,0.00998963769034483
owid_maternalmort,lgbm,0.5164097712297997,0.012877155450645324
owid_maternalmort,lgbm_linear,0.43117525269754226,0.03381783703851289
owid_maternalmort,linear,1.2398853166866433,0.004122733332909204
owid_maternalmort,xgb,0.49121295382917307,0.01055952164215322
