bench,metric,rel,separability
weather,rmse,1.1743399918722353,0.0013469416161588
sberbank,rmse,1.1185700054856798,0.0537291041184428
homecredit,logloss,1.6386078139671036,0.0010766547277098
latam,rmse,1.0103879911836249,0.0024559209821185
