bench,model,seed,metric,value
homecredit,gbdte,3,auc,0.5889399034173862
homecredit,gbdte,3,logloss,0.6796964744749133
homecredit,gbdte_auto,3,auc,0.4394634446037272
homecredit,gbdte_auto,3,logloss,0.19246124051188443
homecredit,gbdte_const,3,auc,0.584440422003924
homecredit,gbdte_const,3,logloss,0.18436726233410913
homecredit,lgbm_linear,3,auc,0.564816711038296
homecredit,lgbm_linear,3,logloss,1.423952277644118
homecredit,lgbm,3,auc,0.6741512687203134
homecredit,lgbm,3,logloss,0.1362850557971653
homecredit,xgb,3,auc,0.6408560311284046
homecredit,xgb,3,logloss,0.13537217476038446
homecredit,catboost,3,auc,0.6956233938681271
homecredit,catboost,3,logloss,0.13197015221613523
homecredit,gbdte,4,auc,0.5044797097401523
homecredit,gbdte,4,logloss,0.38657601246566364
homecredit,gbdte_auto,4,auc,0.451794469960278
homecredit,gbdte_auto,4,logloss,0.24316819092660566
homecredit,gbdte_const,4,auc,0.6604103308093346
homecredit,gbdte_const,4,logloss,0.14794389872604116
homecredit,lgbm_linear,4,auc,0.6921109524991724
homecredit,lgbm_linear,4,logloss,0.4386898012271471
homecredit,lgbm,4,auc,0.7492616786660047
homecredit,lgbm,4,logloss,0.12915852227254007
homecredit,xgb,4,auc,0.7599880265226746
homecredit,xgb,4,logloss,0.12751315444564668
homecredit,catboost,4,auc,0.7448912301390268
homecredit,catboost,4,logloss,0.1308984808663742
