bench,seed,separability
weather,0,0.0019330390177842755
weather,1,0.0
weather,2,0.0018258189460796123
weather,3,0.002975850116930146
weather,4,0.0
sberbank,0,0.054258475486891646
sberbank,1,0.05657073185130346
sberbank,2,0.05138785816995702
sberbank,3,0.05445159675711851
sberbank,4,0.0519768583269435
homecredit,0,0.0016053739388237405
homecredit,1,0.00071049983275588
homecredit,2,0.0008476984440567017
homecredit,3,0.0014207030573451208
homecredit,4,0.0007989983655675992
